Job Title,Job Location,Job URL,Company Name
"Frontend Developer","IN / Remote (IN)","https://www.workatastartup.com/jobs/67751","AiPrise"
"Product Manager","IN / Remote (IN)","https://www.workatastartup.com/jobs/67752","AiPrise"
"Frontend Developer","IN / Remote (IN)","https://www.workatastartup.com/jobs/68322","AiPrise"
"Senior Backend Developer","IN / Remote (IN)","https://www.workatastartup.com/jobs/68323","AiPrise"
"Software Engineer, Product","Remote","https://www.workatastartup.com/jobs/68291","CodeCrafters"
"Influencer Partnerships Manager","Remote","https://www.workatastartup.com/jobs/66405","CodeCrafters"
"Marketing Writer [Technical]","Remote","https://www.workatastartup.com/jobs/67692","CodeCrafters"
"Founding Machine Learning Engineer","US / FR / DE / ES / IT / RS / RO / HU / PL / PT / GR / RU / CZ / SI / CA / MX / Remote (US; FR; DE; ES; IT; RS; RO; HU; PL; PT; GR; RU; CZ; SI; CA; MX)","https://www.workatastartup.com/jobs/68282","Rollstack"
"Middle/Senior Software Engineer (Typescript) - Latin America","MX / BR / AR / Remote (MX; BR; AR)","https://www.workatastartup.com/jobs/62157","Rollstack"
"Middle/Senior Software Engineer (Typescript) - Europe","PT / PL / GR / HU / EE / LV / LT / RS / ES / IT / CZ / SK / SI / RO / FR / DE / GB / Remote (PT; PL; GR; HU; EE; LV; LT; RS; ES; IT; CZ; SK; SI; RO; FR; DE; GB)","https://www.workatastartup.com/jobs/65525","Rollstack"
"Senior Account Executive","US / Remote (US)","https://www.workatastartup.com/jobs/66007","Rollstack"
"AI Search Engineer","Remote (US)","https://www.workatastartup.com/jobs/68254","Activeloop"
"Senior C++ Engineer","Remote (US)","https://www.workatastartup.com/jobs/67438","Activeloop"
"Research Engineer, Applied AI","GB / DE / FR / NO / DK / SE / FI / PT / ES / BE / NL / IT / CH / AT / CZ / PL / EE / LV / LT / SK / HU / SI / HR / RU / UA / Remote (GB; DE; FR; NO; DK; SE; FI; PT; ES; BE; NL; IT; CH; AT; CZ; PL; EE; LV; LT; SK; HU; SI; HR; RU; UA)","https://www.workatastartup.com/jobs/68130","kapa.ai"
"Software Engineer (NYC)","New York, NY, US","https://www.workatastartup.com/jobs/67584","Arpari"
"Frontend Engineer (India)","IN / Remote (IN)","https://www.workatastartup.com/jobs/68120","Arpari"
"Sales Lead (NYC)","New York, NY, US","https://www.workatastartup.com/jobs/67585","Arpari"
"Senior Machine Learning Engineer","BR / Remote (BR)","https://www.workatastartup.com/jobs/68098","Findly"
"Fullstack Engineer (Senior / Leadership)","Remote","https://www.workatastartup.com/jobs/45746","Anima"
"Design Engineer","Remote","https://www.workatastartup.com/jobs/49042","Anima"
"Staff QA Engineer","Remote","https://www.workatastartup.com/jobs/68096","Anima"
"Clinical Engineer","Remote","https://www.workatastartup.com/jobs/61546","Anima"
"Account Executive / Manager (Fullstack Sales)","GB / Remote (GB)","https://www.workatastartup.com/jobs/61544","Anima"
"Implementation & Customer Success","GB / Remote (GB)","https://www.workatastartup.com/jobs/61545","Anima"
"Frontend React Developer","Remote","https://www.workatastartup.com/jobs/68032","Merlin AI"
"FP&A Solutions Consultant","Remote (US)","https://www.workatastartup.com/jobs/68106","Aleph"
